Rk,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes
1,Toshiki Abe\player.fcgi?id=abe---001tos,29,129,484,447,51,130,24,3,7,59,1,0,31,82,.291,.337,.405,.742,181,9,1,3,2,3,
2,Takuma Achira\player.fcgi?id=achira000tak,26,7,6,6,0,1,0,0,0,1,0,0,0,4,.167,.167,.167,.333,1,0,0,0,0,0,
3,Zoilo Almonte#\player.fcgi?id=almont001zoi,30,49,174,164,19,54,8,0,7,25,0,1,8,37,.329,.362,.506,.868,83,6,1,0,1,1,
4,Naomichi Donoue\player.fcgi?id=donoue001nao,30,98,217,193,25,41,9,0,12,39,1,0,13,56,.212,.262,.446,.708,86,4,0,11,0,0,
5,Issei Endo*\player.fcgi?id=endo--000iss,30,108,120,111,22,30,4,2,2,11,4,4,5,28,.270,.314,.396,.710,44,1,2,2,0,0,
6,Atsushi Fujii\player.fcgi?id=fujii-001ats,38,61,154,141,12,31,8,1,1,12,1,0,11,33,.220,.279,.312,.591,44,3,1,0,1,0,
7,Kento Fujishima\player.fcgi?id=fujish000ken,21,32,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,
8,Hiroto Fuku*\player.fcgi?id=fuku--000hir,27,52,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,
9,Nobumasa Fukuda\player.fcgi?id=fukuda001nob,30,105,352,310,55,89,18,0,18,66,0,1,32,69,.287,.358,.519,.877,161,7,5,0,5,4,
10,Koji Fukutani\player.fcgi?id=fukuta000koj,28,1,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,
11,Ryosuke Hirata\player.fcgi?id=hirata001ryo,31,95,407,360,52,100,21,4,8,32,3,6,38,53,.278,.350,.425,.775,153,8,4,1,4,2,
12,Masataka Iryo*\player.fcgi?id=iryo--000mas,29,55,103,100,9,29,9,1,0,9,0,0,3,21,.290,.311,.400,.711,40,0,0,0,0,0,
13,Kota Ishibashi\player.fcgi?id=ishiba000kot,18,12,18,17,0,1,0,1,0,2,0,0,0,8,.059,.111,.176,.288,3,0,1,0,0,0,
14,Masami Ishigaki\player.fcgi?id=ishiga000mas,20,15,15,15,1,2,2,0,0,1,0,0,0,7,.133,.133,.267,.400,4,0,0,0,0,0,
15,Shun Ishikawa\player.fcgi?id=ishika002shu,29,8,8,8,0,1,0,1,0,3,0,0,0,3,.125,.125,.375,.500,3,0,0,0,0,0,
16,Kosuke Ito\player.fcgi?id=ito---000kos,19,14,33,32,6,6,1,0,0,1,0,0,0,8,.188,.188,.219,.406,7,0,0,1,0,0,
17,Kyohei Kamezawa*\player.fcgi?id=kameza000kyo,30,47,49,47,7,6,0,1,0,2,0,3,1,5,.128,.146,.170,.316,8,2,0,1,0,0,
18,Shotaro Kasahara*\player.fcgi?id=kasaha001sho,24,8,12,12,0,1,0,0,0,0,0,0,0,6,.083,.083,.083,.167,1,0,0,0,0,0,
19,Takuma Kato\player.fcgi?id=kato--006tak,27,92,245,224,19,51,7,3,0,13,0,0,9,57,.228,.258,.286,.543,64,6,0,12,0,1,
20,Akiyoshi Katsuno\player.fcgi?id=katsun000aki,22,3,7,6,0,0,0,0,0,0,0,0,1,6,.000,.143,.000,.143,0,0,0,0,0,0,
21,Iori Katsura\player.fcgi?id=katsur000ior,27,4,9,8,1,2,0,0,0,0,0,0,0,2,.250,.250,.250,.500,2,0,0,1,0,0,
22,Takuya Kinoshita\player.fcgi?id=kinosh000tak,27,39,98,88,5,20,6,0,2,8,0,0,5,22,.227,.289,.364,.652,32,2,3,1,1,1,
23,Yota Kyoda*\player.fcgi?id=kyoda-000yot,25,140,574,507,46,126,14,5,3,40,17,7,37,91,.249,.302,.314,.615,159,10,3,24,3,3,
24,Katsuki Matayoshi\player.fcgi?id=matayo000kat,28,26,4,2,0,1,0,0,0,0,0,0,0,1,.500,.500,.500,1.000,1,0,0,2,0,0,
25,Takahiro Matsuba*\player.fcgi?id=matsub000tak,28,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,
26,Masato Matsui*\player.fcgi?id=matsui001mas,31,20,39,33,3,7,2,0,0,2,0,0,4,12,.212,.297,.273,.570,9,1,0,2,0,0,
27,Yusuke Matsui\player.fcgi?id=matsui001yus,31,16,37,32,3,7,2,0,0,2,0,0,3,13,.219,.286,.281,.567,9,0,0,2,0,0,
28,Daisuke Matsuzaka\player.fcgi?id=matsuz001dai,38,2,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,
