Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Takuma Achira\player.fcgi?id=achira000tak,26,1,3,.250,5.82,7,,,0,0,0,34.0,37,22,22,11,13,2,21,1,0,0,146,1.471,9.8,2.9,3.4,5.6,1.62,
2,Kento Fujishima\player.fcgi?id=fujish000ken,21,0,2,.000,2.48,32,,,0,0,0,29.0,19,8,8,1,7,2,35,2,0,0,114,0.897,5.9,0.3,2.2,10.9,5.00,
3,Hiroto Fuku*\player.fcgi?id=fuku--000hir,27,2,0,1.000,2.05,52,,,0,0,0,52.2,39,13,12,3,16,1,53,2,0,0,216,1.044,6.7,0.5,2.7,9.1,3.31,
4,Koji Fukutani\player.fcgi?id=fukuta000koj,28,0,0,,1.50,1,,,0,0,0,6.0,6,1,1,1,2,0,6,0,0,0,26,1.333,9.0,1.5,3.0,9.0,3.00,
5,Junki Ito\player.fcgi?id=ito---001jun,28,0,0,,54.00,1,,,0,0,0,1.1,7,8,8,0,2,0,1,0,0,1,13,6.750,47.3,0.0,13.5,6.8,0.50,
6,Shotaro Kasahara*\player.fcgi?id=kasaha001sho,24,3,2,.600,5.71,8,,,0,0,0,34.2,39,23,22,4,17,0,22,1,0,0,158,1.615,10.1,1.0,4.4,5.7,1.29,
7,Akiyoshi Katsuno\player.fcgi?id=katsun000aki,22,1,2,.333,6.06,3,,,0,0,0,16.1,16,11,11,2,9,0,9,0,0,1,71,1.531,8.8,1.1,5.0,5.0,1.00,
8,Yusuke Kinoshita\player.fcgi?id=kinosh000yus,25,0,0,,5.68,5,,,0,0,0,6.1,8,4,4,0,3,0,6,0,0,1,30,1.737,11.4,0.0,4.3,8.5,2.00,
9,Raidel Martinez\player.fcgi?id=martin001rai,22,1,4,.200,2.66,43,,,0,0,8,40.2,34,13,12,2,14,1,48,2,0,1,171,1.180,7.5,0.4,3.1,10.6,3.43,
10,Katsuki Matayoshi\player.fcgi?id=matayo000kat,28,3,3,.500,4.06,26,,,0,0,0,44.1,35,21,20,5,19,0,37,1,0,0,182,1.218,7.1,1.0,3.9,7.5,1.95,
11,Takahiro Matsuba*\player.fcgi?id=matsub000tak,28,0,0,,10.13,1,,,0,0,0,2.2,5,3,3,0,3,0,0,0,0,0,16,3.000,16.9,0.0,10.1,0.0,0.00,
12,Daisuke Matsuzaka\player.fcgi?id=matsuz001dai,38,0,1,.000,16.88,2,,,0,0,0,5.1,12,10,10,0,2,0,2,3,0,0,32,2.625,20.3,0.0,3.4,3.4,1.00,
13,Takuya Mitsuma\player.fcgi?id=mitsum000tak,26,2,2,.500,3.38,29,,,0,0,0,34.2,30,13,13,6,13,0,31,2,0,1,143,1.240,7.8,1.6,3.4,8.0,2.38,
14,Shinnosuke Ogasawara*\player.fcgi?id=ogasaw000shi,21,3,1,.750,2.56,7,,,0,0,0,38.2,34,12,11,5,7,0,32,2,0,4,155,1.060,7.9,1.2,1.6,7.4,4.57,
